English,Nagamese,,,,
"The angel said to her, ""Do not be afraid, Mary, for you have found favor with God. 31","Aru sorgoduth taike koise, “Bhoi nakoribi, Mary, tumi to Isor usorte morom paise. 31",,,,
"See, you will conceive in your womb and bear a son. You will call his name 'Jesus.' 32","Aru tumi ekjon chokra bukhi bo, aru Tai laga naam ‘Jisu’ rakhibo. 32",,,,
He will be great and will be called the Son of the Most High. The Lord God will give him the throne of his ancestor David. 33,"Tai bisi mohan hobo aru Tai ke Sobse Mohan laga Chokra eneka matibo. Aru Probhu Isor tai ke, tai laga purbo David laga singhason dibo. 33",,,,
"He will reign over the house of Jacob forever, and there will be no end to his kingdom."" 34","Aru Tai hodai nimite Jacob laga ghor cholai thakibo, aru Tai laga rajyo kitia bi khotom nahobo.” 34",,,,
"Mary said to the angel, ""How will this happen, since I have not known any man?"" 35","Aru Mary pora sorgoduth logote koise, “Itu kineka hobo, kilemane moi kun manu ke bi najane?” 35",,,,
"The angel answered and said to her, ""The Holy Spirit will overshadow you, and the power of the Most High will overshadow you. So the holy one to be born will be called the Son of God. 36","Aru sorgoduth he taike koise, “Pobitro Atma tumi logote ahibo, aru Sobse Mohan takot pora tumi ke bondh kori dibo. Itu nimite juntu pobitro bacha jonom hobole ase, Tai ke Isor laga Chokra matibo. 36",,,,
"See, your relative Elizabeth has also conceived a son in her old age. This is the sixth month for her, she who was called barren. 37","Aru sabi tumi laga ghor manu Elizabeth bi tai laga buri umorte chokra pabole ase. Aru tai laga choi mohina chuli ase, taike ekjon bacha napa maiki koi thakisele. 37",,,,
"For nothing will be impossible for God."" 38",Kilemane Isor nimite eku napara nai.” 38,,,,
"Mary said, ""See, I am the female servant of the Lord. Let it be for me according to your message."" Then the angel left her. 39","Aru Mary koise, “Sabi moi Probhu laga ekjon mahila sewak ase. Apni ki koi ase itu nisena hobole dibi.” Titia sorgoduth jai jaise. 39",,,,
"Then Mary arose in those days and quickly went into the hill country, to a city in Judea. 40","Itu huwa pichete, Mary tara-tari korikena pahar bosti jaise, Judah laga sheher ekta te. 40",,,,
She went into the house of Zechariah and greeted Elizabeth. 41,Aru Zechariah aru Elizabeth laga ghor te ghusi kena salam dise. 41,,,,
"Now it happened that when Elizabeth heard Mary's greeting, the baby in her womb jumped, and Elizabeth was filled with the Holy Spirit. 42","Aru eneka hoise jitia Mary pora Elizabeth ke salam dise, tai laga pet bhitor te bacha thaka to khushi pora hili se, aru Elizabeth to Pobitro Atma pora bhorta hoise. 42",,,,
"She cried out with a loud shout and said, ""Blessed are you among women, and blessed is the fruit of your womb. 43","Aru tai khushi pora hala korikena koise; “Sob maiki bhitorte tumi ekjon asirbad thaka ase, aru jun he apni laga bhitorte ase itu bi asirbad ase. 43",,,,
Why has it happened to me that the mother of my Lord should come to me? 44,"Aru itu moi logote kineka hoise, moi laga Probhu laga ama moi logote ahise. 44",,,,
"For see, when the sound of your greeting came to my ears, the baby in my womb jumped for joy. 45","Aru sabi, apni laga salam jitia moi kan pora hunise, moi laga bhitorte bacha thaka to khushi pora hili se. 45",,,,
"Blessed is she who believed that there would be a fulfillment of the things that were told her from the Lord."" 46","Aru itu manu asirbad ase jun to kotha khan purah hobo koikena biswas korise, juntu kotha to Probhu pora taike koise.” 46",,,,
"Mary said, ""My soul praises the Lord, 47","Titia Mary koise, “Moi laga jibon Probhu ke mohima kore, 47",,,,
and my spirit has rejoiced in God my Savior. 48,Aru moi laga Atma khushi kori ase jun Isor he moi laga Tran-korta ase. 48,,,,
"For he has looked at the low condition of his female servant. For see, from now on all generations will call me blessed. 49","Aru Tai upor pora, sobse mamuli maiki ekjon, tai laga sewak ke saise. Aru sabi, etiya pora sob manukhan moike asirbad ase kobo. 49",,,,
"For the Mighty One has done great things for me, and his name is holy. 50",Kilemane Mohan Ekjon pora moi nimite dangor kaam koridise aru tai laga naam to pobitro ase. 50,,,,
His mercy lasts from generation to generation for those who fear him. 51,Aru tai laga morom to etiya pora loikena aha din tak jun manu taike bhoi kore tai logote ase. 51,,,,
He has displayed strength with his arm, he has scattered those who were proud about the thoughts of their hearts. 52,Tai laga hath pora bisi dangor kaam korise. Aru jun manu tai laga mon te phutani bhabona kore tai khan ke alag kori diye. 52,,,
He has thrown down princes from their thrones and he has raised up those of low condition. 53,Aru taikhan bohikena raj kora jaga pora nichete girai dise. Aru jun chutu hoiase itu khan ke uthaise. 53,,,,
"He has filled the hungry with good things, but the rich he has sent away empty. 54","Aru bhuka thaka khan ke bhal saman pora bhorta koridise, Aru dhun manu khan ke khali koridise. 54",,,,
"He has given help to Israel his servant, so as to remember to show mercy 55","Aru tai laga sewak, Israel ke modot korise, tai laga morom to yaad korise, 55",,,,
"(as he said to our fathers) to Abraham and his descendants forever."" 56",Aru tai kotha korise moi khan laga baba khan ke- Abraham aru tai laga bacha khan logote hodai nimite.” 56,,,,
Mary stayed with Elizabeth about three months and then returned to her house. 57,Aru Mary Elizabeth logote tin mohina tak thakise aru itu pichete tai laga ghor te jai jaise. 57,,,,
Now the time had come for Elizabeth to deliver her baby and she gave birth to a son. 58,Aru Elizabeth nimite bacha pabole laga homoi ahi jaise aru tai ekjon chokra ke jonom dise. 58,,,,
"Her neighbors and her relatives heard that the Lord had shown his great mercy to her, and they rejoiced with her. 59",Tai laga ghor manu aru usorte thaka khan Probhu pora kiman dangor aru morom kaam korise itu dikhi kena tai logote khushi korise. 59,,,,
"Now it happened on the eighth day that they came to circumcise the child. They would have called him ""Zechariah,"" after the name of his father. 60","Aru ath din hoi thaka homoite taikhan bachake Isor usorte sunnot koribole anise, aru tai laga baba Zechariah laga naam te rakhibole thakise. 60",,,,
"But his mother answered and said, ""No. He will be called John."" 61","Hoilebi tai laga ama pora koise, “Nohobo. Taike John laga naam pora he matibo.” 61",,,,
"They said to her, ""There is no one among your relatives who is called by this name."" 62","Aru tai khan koise, “Apni laga ghor manu bhitorte kun bi itu naam thaka manu nai.” 62",,,,
They made signs to his father as to how he wanted him to be named. 63,Aru tai khan tai laga baba ke hath dikhai kena ki mati bole mon ase itu hudise. 63,,,,
"His father asked for a writing tablet and wrote, ""His name is John."" They all were astonished at this. 64","Tai laga baba pora likhi bole saman mangise aru likhise, koise, “Tai laga naam to John ase.” Titia tai khan sob asurit hoi jaise. 64",,,,
Immediately his mouth was opened and his tongue was freed. He spoke and praised God. 65,"Aru achanak pora tai laga mukh khuli se aru tai laga jiba to hili se, aru tai Isor ke asirbad dise. 65",,,,
Fear came on all who lived around them. All these matters were spread throughout all the hill country of Judea. 66,"Sob Judea laga jagate itu laga kotha he koi thakise, aru jiman manu tai khan usorte thakise, taikhan sob bhoi hoise. 66",,,,
"All who heard them stored them in their hearts, saying, ""What then will this child become?"" For the hand of the Lord was with him. 67","Jun manu itu kotha khan hunise itu sob taikhan nijor laga mon te rakhise, aru koi thakise, “Itu bacha kineka hobo?” Kilemane Isor laga hath tai logote asele. 67",,,,
"His father Zechariah was filled with the Holy Spirit and prophesied, saying, 68","Titia tai laga baba Zechariah ke Pobitro Atma pora bhorta hoise aru tai koise, 68",,,,
"""Praised be the Lord, the God of Israel, for he has come to help and he has accomplished redemption for his people. 69","“Asirbad hobo Probhu, Israel laga Isor, Kilemane Tai modot koribole ahise, aru Tai laga manukhan nimite ki bhabise itu purah hoise. 69",,,,
He has raised up a horn of salvation for us in the house of his servant David 70,"Aru amikhan nimite Tai laga sewak David laga porial te ekjon mukti laga seing ulai dise, 70",,,,
"(as he spoke by the mouth of his holy prophets from long ago), 71",Jineka tai purana homoite pobitro bhabobadi laga mukh pora koisele. 71,,,,
salvation from our enemies and from the hand of all who hate us. 72,Biya pora mukti pabo aru taikhan laga hath pora amikhan ke bachai lobo. 72,,,,
"He will do this to show mercy to our fathers and to remember his holy covenant, 73",Tai eneka korikena amikhan laga baba khan uporte morom to dikhai dibo. Aru tailaga ki pobitro vachan dise itu yaad koribo. 73,,,,
the oath that he swore to Abraham our father. 74,"Aru juntu kosom Abraham amikhan laga baba logote khaise, itu dibo nimite 74",,,,
"He swore to grant to us that we, having been delivered out of the hand of our enemies, would serve him without fear 75","Aru amikhan ke dushman laga hath pora bachai kena ulai luwa nisena amikhan taike bhoi nakori kena tai laga sewa koribo, 75",,,,
in holiness and righteousness before him all our days. 76,Pobitrota te aru sapha pora tai ke hodai mohima koribo. 76,,,,
"Yes, and you, child, will be called a prophet of the Most High, for you will go before the face of the Lord to prepare his paths, to prepare people for his coming, 77","Aru apni ke, oh bacha, sob pora dangor bhabobadi matibo kilemane apni Probhu laga age te jabo aru rasta taiyar koribo. 77",,,,
to give knowledge of salvation to his people by the forgiveness of their sins. 78,"Tai laga manukhan ke poritran laga gyaan dibole, taikhan laga paap pora maph pai ja-a dwara. 78",,,,
"This will happen because of the tender mercy of our God, because of which the sunrise from on high will come to help us, 79","Aru itu sob to purah hobo kile mane amikhan laga Isor to morom aru nomro ase. Itu nimite uporte thaka ujala bi amikhan ke modot koribole ahibo, 79",,,,
"to shine on those who sit in darkness and in the shadow of death. He will do this to guide our feet into the path of peace."" 80",Aru jun andhera te bohi ase aru mora-laga chaya te bohikena ase taikhan uporte ujala thakibo, amikhan laga theng to shanti laga rasta te berabole dibo.” 80,,,
"Now the child grew and became strong in spirit, and he was in the wilderness until the day of his public appearance to Israel. 1","Aru bacha to dangor hoise aru atma te takot hoise, aru tai jongol te thakise jitia tak tai nijor ke Israel manu usorte ahi dikhai diya nai. 1",,,,
"Now in those days, it came about that Caesar Augustus sent out a decree ordering that a census be taken of all the people living in the world. 2","Aru itu din khan te eneka hoise, Caesar Augustus pora ekta hukum ulaise dise, itu duniya laga manukhan sob sorkari kagos te naam likhikena nijor laga ginti kori lobole. 2",,,,
This was the first census made while Quirinius was governor of Syria. 3,"Aru poila din te hoile, jitia Quirinius pora Syria laga rajyopal thakise, itu homoi pora naam likha shuru hoise. 3",,,,
So everyone went to his own city to be registered for the census. 4,Aru sob manu nijor laga naam likhi bole nijor desh te jaise. 4,,,,
"Joseph also went up from Galilee, from the city of Nazareth, to Judea, to the city of David, which is called Bethlehem, because he was of the house and family line of David. 5","Aru Joseph bi Galilee pora jaise, Nazareth aru Judea laga sheher pora, David laga sheher pora juntu ke Bethlehem mate, kilemane tai bi David laga ghor manu ase aru tai laga khandan pora ahise. 5",,,,
"He went there to register along with Mary, who was engaged to him and was pregnant. 6","Tai Mary ke loikena naam likhi bole jaise, jun tai logote shadi koribole laga kotha milai kena thakise, aru tai bacha bukhi thakise. 6",,,,
"Now it came about that while they were there, the time came for her to deliver her baby. 7","Aru jitia tai khan tate thakise, bacha jonom hobole homoi ahi jaise. 7",,,,
"She gave birth to a son, her firstborn child, and she wrapped him in long strips of cloth and laid him in a manger, because there was no room for them in the inn. 8","Aru tai chokra ke jonom dise, tai laga poila bacha, aru lamba kaprakhan pora bandikena, tai ke khair te ghumai dise, kilemane aram kora ghor te taikhan thakibole jaga thaka nai. 8",,,,
"There were shepherds in that region who were staying in the fields, guarding their flock at night. 9","Aru itu jagate, kunba mer rokhiya khan thakise. Aru rati te taikhan kheti te mer khan ke rukhi thakise. 9",,,,
"An angel of the Lord appeared to them, and the glory of the Lord shone around them, and they were filled with great fear. 10","Aru Probhu laga sorgoduth taikhan usorte ahise, aru Probhu laga mohima taikhan uporte dise, aru taikhan bisi bhoi lagise. 10",,,,
"Then the angel said to them, ""Do not be afraid, because I bring you good news that will bring great joy to all the people. 11","Aru sorgoduth pora taikhan ke koise, “Bhoi nakoribi, huni bi, kile mane, moi dangor khushi kotha anise, aru itu sob manu nimite hobo. 11",,,,
Today a Savior was born for you in the city of David! He is Christ the Lord! 12,"Kilekoile aji laga din te, David laga sheher te, tumikhan nimite, ekjon jonom hoise, jun Tran-korta Probhu Khrista ase! 12",,,,
"This is the sign that will be given to you: You will find a baby wrapped in strips of cloth and lying in a manger."" 13",Aru tumikhan ke itu chihna di ase: tumikhan ekjon bacha kapra laga tukra khan pora bandi kena khair uporte ghumai kena pabo.” 13,,,,
"Suddenly there was together with the angel a great multitude from heaven, praising God and saying, 14","Aru achanak pora itu sorgoduth logote bisi duth khan ulaikena ahise, aru Isor ke dhanyabad dikena koi thakise, 14",,,,
"""Glory to God in the highest, and may there be peace on earth among people with whom he is pleased.""  15","“Sob pora untcha te thaka Isor ke mohima hobi, Aru prithibi te kun logot Tai khushi pai, Taikhan uporte shanti hobole dibi.” 15",,,,
"It came about that when the angels had gone away from them into heaven, the shepherds said to each other, ""Let us now go to Bethlehem and see this thing that has happened, which the Lord has made known to us."" 16","Aru jitia sorgoduth khan sorgo te jai jaise, rokhiya khan ekjon-ekjon ke koise, “Ahibi amikhan Bethlehem te jabo, aru ki hoise itu sabo, juntu kotha Probhu koi amikhan ke janibo dise.” 16",,,,
"They hurried there and found Mary, Joseph, and the baby, who was lying in a manger. 17",Aru tai khan joldi jaikena Mary aru Joseph ke lok paise aru khair te ghumai thaka bacha ke lok paise. 17,,,,
"After they had seen him, they made known what had been said to them about this child. 18","Aru jitia taikhan bacha ke sai loise, taikhan jaikena itu bacha laga sob kotha manukhan ke koise. 18",,,,
All who heard it were amazed at what was spoken to them by the shepherds. 19,"Jitia taikhan pora utu bacha laga kotha koise sob manu ke koise, itu huni kena tai khan sob asurit hoise. 19",,,,
"But Mary kept thinking about all the things she had heard, treasuring them in her heart. 20",Hoilebi Mary to itu kotha sob tai laga mon te he rakhise. 20,,,,
"The shepherds returned, glorifying and praising God for everything that they had heard and seen, just as it had been spoken to them. 21","Aru saguli roikhya khan, ki kotha tai khan ke sorgoduth khan pora koise aru taikhan ki hunise itu loikena Isor ke dhanyabad di kena wapas jaise. 21",,,,
"When it was the end of the eighth day, when he was circumcised, he was named Jesus, the name he had been given by the angel before he was conceived in the womb. 22","Aru jitia ath din pura hoise, tai laga sunnot niom kora din te, aru titia tai laga naam Jisu koikena mati dise, juntu naam sorgoduth pora matidise jitia Tai ama laga peth te hoi thakise. 22",,,,
"When the required number of days for their purification had passed, according to the law of Moses, they brought him up to the temple in Jerusalem to present him to the Lord. 23","Aru jitia sapha kora laga din paar hoise, Moses laga kanun hisab te, taike Jerusalem te Isor usorte dibole nimite anise. 23",,,,
"As it is written in the law of the Lord, ""Every male who opens the womb will be set apart to the Lord."" 24","-Aru itu Isor laga niom te likhi kena ase, “Jiman mota ama laga pet pora ulai ahise, tai Probhu usorte pobitro matibo”-, 24",,,,
"So they offered a sacrifice according to what was said in the law of the Lord, ""a pair of doves or two young pigeons."" 25","Aru boli dibole nimite juntu Probhu laga niom te koise, “Ek jora kopu chiriya aru duita chutu kobutar.” 25",,,,
"Behold, there was a man in Jerusalem whose name was Simeon, and this man was righteous and devout. He was waiting for the consolation of Israel, and the Holy Spirit was upon him. 26","Aru sabi, Jerusalem te ekjon manu thakisele, tai laga naam Simon ase, tai dharmik jon ase aru Isor ke aradhana di thaka manu ase. Israel manu nimite shanti bisari thakise; aru Pobitro Atma tai logote thakise. 26",,,,
It had been revealed to him by the Holy Spirit that he would not see death before he had seen the Lord's Christ. 27,"Aru Pobitro Atma pora taike dikhai dise, tai mora nadikhibo, jitia tak tai Probhu laga Khrista ke nadikhibo. 27",,,,
"Led by the Spirit, Simeon came into the temple. When the parents brought in the infant Jesus, to do for him according to the custom of the law, 28",Aru tai Atma te koikena mondir te ahise, aru jitia Jisu laga ama baba pora tai ke anise, ki niom ase itu hisab te tai uporte koribole nimite. 28,,
"he took him into his arms and praised God, and he said, 29","Aru tai laga hath te bacha ke uthaikena Isor ke dhanyabad dise, aru koise, 29",,,,
"""Now let your servant depart in peace, Lord, according to your word. 30","“Etiya apni laga sewak ke shanti pora jabole dibi Probhu, apni laga kotha hisab te. 30",,,,
"For my eyes have seen your salvation, 31","Moi laga suku pora apni laga poritran dikhise, 31",,,,
which you have prepared in the presence of all peoples: 32,Apni sob to taiyar kori dise apni laga manukhan usorte: 32,,,,
"A light for revelation to the Gentiles and glory to your people Israel."" 33","Porjati khan ke dikhai dibole nimite ekta ujala ahise, aru Israel manukhan nimite mohima hobole nimite.” 33",,,,
His father and mother  were amazed at what was said about him. 34,Aru tai ki koise itu huni kena tai laga ama aru baba asurit hoise. 34,,,,
"Simeon blessed them and said to Mary his mother, ""Behold, this child is appointed for the downfall and rising up of many people in Israel and for a sign that is rejected— 35","Aru Simeon tai khan ke asirbad dise, aru bacha laga ama Mary ke koise, “Sabi, itu bacha ke Israel laga manu khan ke uthai dibo nimite rakhise; aru ek din asurit kaam to kotha namana khan ke dikhai dibo. 35",,,,
"and a sword will pierce your own soul—so that the thoughts of many hearts may be revealed."" 36",Aru ekta talwar apni laga atma te maribo- kilemane bisi manu laga mon te bhabona kosi thaka to ulai ahibo.” 36,,,,
"A prophetess named Anna was there. She was the daughter of Phanuel from the tribe of Asher. She was advanced in her days. She had lived with her husband for seven years after her virginity, 37","Anna bi ekta bhabobadini thakise, Phanuel laga chukri aru Asher laga jati pora asele. Tai umor bi bisi hoi jaise, aru tai sat saal tak tailaga mota logote thakise, 37",,,,
"and was a widow for eighty-four years. She never left the temple but was serving with fastings and prayers, night and day. 38","Aru chaurasi saal tak tai ekjon bidhowa thakise. Tai kitia bi mondir chara nai, rati aru din tai prathana aru upas te he sewa kori thakise. 38",,,,
"At that very hour she came near to them and began giving thanks to God, and she spoke about the child to everyone who had been waiting for the redemption of Jerusalem. 39","Aru jitia tai khan usorte ahise, tai Isor ke dhanyabad dibole suru hoise, aru sob manu khan ke itu bacha laga kotha koi dise, kilemane taikhan sob udhar pabo nimite Jerusalem te rukhi thakise. 39",,,,
"When they had finished everything they were required to do according to the law of the Lord, they returned to Galilee, to their own town of Nazareth. 40","Aru jitia Probhu laga niom te sob kaam khotom hoise, tai khan Galilee te wapas jaise, juntu jaga Nazareth te asele, taikhan nijor laga bosti. 40",,,,
"The child grew and became strong; he was full of wisdom, and the grace of God was upon him. 41","Aru bacha to dangor aru takot hoise, gyaan pora bhorta koikena, aru Isor laga morom Tai laga uporte thakise. 41",,,,
His parents went every year to Jerusalem for the Festival of the Passover. 42,"Aru hodai saal, Tai laga ama baba Jerusalem te Nistar Laga Utsov nimite jai thake. 42",,,,
"When he was twelve years old, they again went up at the customary time for the festival. 43","Jitia Tai baroh saal hoi jaise, taikhan hodai nisena, dhanyabad dibole nimite jaise. 43",,,,
"After they had stayed the full number of days for the feast, they began to return home. But the boy Jesus stayed behind in Jerusalem and his parents did not know it. 44","Kintu jitia dhanyabad diya aru kha-luwa laga homoi to khotom koikena paar hoise, jitia taikhan ghor te jai thakise, Jisu to Jerusalem te thaki jaise. Aru tai laga ama aru baba itu jana nai. 44",,,,
"They assumed that he was with the group that was traveling with them, so they traveled a day's journey. Then they started looking for him among their relatives and friends. 45","Kintu tai khan bhabise Jisu tai khan logote he eke logote jai ase, aru eneka pora ek din laga safar kori loise. Aru itu pichete tai ke ghor manu aru sathi khan majote bisari bole shuru hoise. 45",,,,
"When they did not find him, they returned to Jerusalem and started looking for him there. 46",Aru jitia Tai ke pa-a nai taikhan aru Jerusalem te ghuri kena jaise aru taike bisaribole shuru hoise. 46,,,,
"It came about that after three days they found him in the temple, sitting in the middle of the teachers, listening to them and asking them questions. 47","Aru tin din pichete Tai ke mondir te paise, sikhai diya manu khan majote bohikena taikhan ki koi ase itu huni thakise aru kiba kibi hudi thakise. 47",,,,
All who heard him were amazed at his understanding and his answers. 48,"Aru jiman manu Tai laga gyaan aru kotha hunise, sob manukhan bisi asurit hoi jaise. 48",,,,
"When they saw him, they were astonished. His mother said to him, ""Son, why have you treated us this way? Look, your father and I have been anxiously searching for you."" 49","Aru jitia Tai ke dikhise, taikhan sob asurit hoi jaise, Tai laga ama pora koise, “Chokra, amikhan ke kile eneka korise? Sabi, Apni laga baba aru moi bisi chinta pora Apnike bisari thakise.” 49",,,,
"He said to them, ""Why were you searching for me? Did you not know that I had to be about my Father's business?  50","Hoilebi Tai pora koise, “Kile Moike bisari ase? Apnikhan najane naki Moi laga Baba ghor te Moi thakibole lage koikena?” 50",,,,
But they did not understand what he meant by those words. 51,Hoilebi Tai ki koise itu kotha taikhan bujhi bole para nai. 51,,,,
Then he went back home with them to Nazareth and was obedient to them. His mother treasured all these things in her heart. 52,"Itu pichete taikhan logote Nazareth te ahi jaise, aru tai khan laga kotha mani kena thakise. Tai laga ama to sob kotha tai laga mon bhitorte he rakhise. 52",,,,
"But Jesus continued to grow in wisdom and stature, and increased in favor with God and people. 1","Aru Jisu tai laga gyaan aru buddhi te bisi bari kena jaise, aru Isor aru manu logot te morom paise. 1",,,,
"In the fifteenth year of the reign of Tiberius Caesar—while Pontius Pilate was governor of Judea, Herod was tetrarch of Galilee, his brother Philip was tetrarch of the region of Iturea and Trachonitis, and Lysanias was tetrarch of Abilene, 2","Jitia Tiberius Caesar pondro saal raj kori thaka homoite, aru Pontius Pilate pora Judea laga rajyopal kora homoite, aru Herod bi Galilee laga ekjon sthaniya cholawta thakise, aru tai laga bhai bi Ituraea aru Trachonitis laga cholawta thakise, aru Lysanias bi Abilene laga ekjon cholawta thakise, 2",,,,
